VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1644860799055	-185.669	60.115	-45.3442	0.932016	-0.10224	-0.345043	-0.0428829	img_Drone1__0_1644860799587573500.png
Drone1	1644860799115	-185.978	60.2037	-45.3443	0.930746	-0.100953	-0.3486	-0.0447086	img_Drone1__0_1644860799647630800.png
Drone1	1644860799178	-186.274	60.2868	-45.3395	0.929807	-0.0993528	-0.351342	-0.0463379	img_Drone1__0_1644860799711084700.png
Drone1	1644860799235	-186.516	60.3534	-45.3307	0.929381	-0.0976567	-0.352781	-0.0475302	img_Drone1__0_1644860799768838000.png
Drone1	1644860799292	-186.733	60.4119	-45.3173	0.929361	-0.0957487	-0.353236	-0.0484269	img_Drone1__0_1644860799825543600.png
Drone1	1644860799376	-187.009	60.4837	-45.2895	0.93014	-0.0925642	-0.351926	-0.0491887	img_Drone1__0_1644860799907526800.png
Drone1	1644860799433	-187.167	60.5228	-45.2651	0.93123	-0.0902019	-0.349631	-0.0493228	img_Drone1__0_1644860799964742100.png
Drone1	1644860799490	-187.3	60.5542	-45.2366	0.93277	-0.0877217	-0.346162	-0.0491515	img_Drone1__0_1644860800021557400.png
Drone1	1644860799547	-187.409	60.5783	-45.2041	0.934785	-0.0850924	-0.34142	-0.0486646	img_Drone1__0_1644860800079455500.png
Drone1	1644860799607	-187.499	60.5958	-45.166	0.937387	-0.0822037	-0.335053	-0.0478224	img_Drone1__0_1644860800139093100.png
Drone1	1644860799664	-187.56	60.6052	-45.1265	0.940294	-0.0794	-0.327656	-0.0467358	img_Drone1__0_1644860800197002900.png
Drone1	1644860799745	-187.607	60.6069	-45.0659	0.945131	-0.0750949	-0.314792	-0.0446521	img_Drone1__0_1644860800278397200.png
Drone1	1644860799802	-187.613	60.6003	-45.0208	0.949002	-0.0718451	-0.303973	-0.0428337	img_Drone1__0_1644860800336146900.png
Drone1	1644860799859	-187.597	60.5875	-44.9744	0.95319	-0.0683371	-0.29172	-0.0407168	img_Drone1__0_1644860800392722800.png
Drone1	1644860799919	-187.558	60.5677	-44.9246	0.957879	-0.0643301	-0.277258	-0.0381816	img_Drone1__0_1644860800451236900.png
Drone1	1644860799976	-187.501	60.5432	-44.8773	0.962533	-0.060254	-0.26199	-0.0355225	img_Drone1__0_1644860800508145200.png
Drone1	1644860800033	-187.424	60.5136	-44.8305	0.967274	-0.0558816	-0.245341	-0.0326333	img_Drone1__0_1644860800565922000.png
Drone1	1644860800090	-187.33	60.4794	-44.785	0.972006	-0.0511852	-0.227401	-0.0295376	img_Drone1__0_1644860800622642300.png
Drone1	1644860800147	-187.219	60.4408	-44.7411	0.976633	-0.0461579	-0.208247	-0.026272	img_Drone1__0_1644860800680201500.png
Drone1	1644860800204	-187.093	60.3984	-44.6997	0.981008	-0.0408911	-0.188223	-0.0228866	img_Drone1__0_1644860800737620000.png
Drone1	1644860800264	-186.945	60.3503	-44.659	0.985254	-0.0351144	-0.166345	-0.019246	img_Drone1__0_1644860800795398000.png
Drone1	1644860800321	-186.793	60.3016	-44.6238	0.988875	-0.0294857	-0.14494	-0.015777	img_Drone1__0_1644860800853372500.png
Drone1	1644860800381	-186.621	60.2478	-44.5906	0.992177	-0.02345	-0.122012	-0.012169	img_Drone1__0_1644860800913482800.png
Drone1	1644860800438	-186.449	60.1948	-44.5632	0.994767	-0.017671	-0.100245	-0.00883428	img_Drone1__0_1644860800970837000.png
Drone1	1644860800492	-186.279	60.1433	-44.5411	0.996723	-0.012164	-0.0797645	-0.0058051	img_Drone1__0_1644860801025760000.png
